,Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal,Telephone,Mail,Site_web,Commune,Description
141,Eglise Saint Roch de Zilia,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ReligiousSite|https://www.datatourisme.fr/ontology/core#Church,42.530433,8.900879,,20214,+33 4 95 62 71 59,,,Zilia,"L'église de Zilia est située au coeur du village; elle est dédiée à Saint Roch, San Roccu, saint très vénéré en Balagne."
142,Plage de Calvi,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Beach|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,42.562343,8.756381,,20260,+33 4 95 47 07 21,,,Calvi,"La plage de Calvi… l’une des plus belles plages et golfe de Corse
Les 5 km de sable blanc de la plage de Calvi forment un arc de cercle naturel et dévoilent au visiteur une vue imprenable sur la citadelle génoise et la Cité
de Christophe Colomb."
145,Résidence Les Castors,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.557256,8.75607,,20260,+33 4 20 19 00 90,resa@sejoya.fr,https://residence-castors.fr/,Calvi,"Avec un emplacement de premier ordre en Balagne, la résidence de vacances Les Castors se trouve seulement à quelques mètres de la plage de sable fin de Calvi et vous offre l'avantage de pouvoir accéder à tout sans avoir besoin de votre véhicule ."
152,Voyage à voile,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,42.565196,8.756928,,20260,+33 6 87 49 24 04,christophepoirat@gmail.com,https://www.voyageavoile.com/,Calvi,"Location de voilier avec Capitaine  Skipper à Calvi ou l’Île-Rousse en Corse.
Embarquer pour une sortie en voilier en mer à la journée en voilier pour vivre une promenade en mer inoubliable !"
153,Ruines du couvent Saint François,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ReligiousSite|https://www.datatourisme.fr/ontology/core#Convent,42.570249,8.755506,,20260,+33 4 95 65 00 72,,,Calvi,"Ruines de l'ancien couvent observantin San Francescu Vechju fondé en 1236 par un disciple de Saint François. Achevé vers 1257, il possédait une marine au lieu dit Roncu et occupait l'ensemble de la pointe. Il sera ruiné par le siège de Calvi en 1554 ."
158,Village abandonné d'Oci ou Occi,https://www.datatourisme.fr/ontology/core#ArcheologicalSite|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Ruins,42.584157,8.839069,,20260,+33 4 95 65 16 67,casacumuna@paesedilumiu.fr,https://www.mairie-lumio.fr/,Lumio,"Oci, quand la lumière rencontre la pierre…
Le village abandonné d’Occi se situe au dessus de Lumio, en Balagne, niché sur un plateau à 377 mètres d’altitude offrant une vue panoramique époustouflante.... A vos souliers… un, deux, trois, partez !"
159,Le Monte Ortu,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.583916,8.822034,,20260,+33 4 95 60 73 93,,https://camping-monteortu.cors,Lumio,"Camping, restaurant-pizzeria, bar situé à Lumio en Balagne avec vue panoramique sur la baie et la citadelle de Calvi en Corse."
166,La Santa,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.604342,8.930222,,20220,+33 4 95 60 04 73,hotelasanta@orange.fr,http://www.hotel-la-santa.com/,Santa-Reparata-di-Balagna,"L'hôtel La Santa*** , à l'image de la Corse et de ses valeurs séculaires, est un établissement où se côtoient accueil chaleureux, convivialité, confort de chambres rénovées dans un esprit moderne, et une table reconnue par le Titre de Maître Restaurateur"
168,A Flatta,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.495422,8.881248,,20214,+33 4 95 62 80 38,info@aflatta.com,http://www.aflatta.com/,Calenzana,"Cet établissement de charme alliant luxe et authenticité,  situé au pied des montagnes et de la forêt de la Flatta à Calenzana en Balagne, surplombe le golfe de Calvi. A proximité de nombreuses activités, du GR20 et à 20 mn de Calvi et de ses plages."
169,Eglise Saint Blaise,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ReligiousSite|https://www.datatourisme.fr/ontology/core#Church,42.508316,8.855248,,20214,+33 4 95 62 70 08,,,Calenzana,"L'église paroissiale de Calenzana, classée monument historique, est un des principaux édifices baroques de la Balagne."
170,Eglise Saint Roch de Moncale,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ReligiousSite|https://www.datatourisme.fr/ontology/core#Church,42.509683,8.836827,,20214,+33 4 95 62 71 12,moncale.mairie@wanadoo.fr,,Moncale,L'église baroque de Moncale est dédiée à Saint Roch que l'on fête chaque année le 16 août.
172,Couvent de Marcassu,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ReligiousSite|https://www.datatourisme.fr/ontology/core#Convent,42.574085,8.886734,,20225,,,,Cateri,"La première pierre de ce couvent de Balagne fût posée le 5 septembre 1623, sur des terrains cédés gracieusement par trois habitants de Cateri. Elle fit l'objet d'une cérémonie officielle. L'édifice domine toute la plaine d'Aregno."
178,Eglise A Nunziata,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ReligiousSite|https://www.datatourisme.fr/ontology/core#Convent,42.615232,8.906988,,20220,,,,Corbara,"Cet édifice baroque datant du 17e siècle a été construit pour remplacer l’ancienne église devenue trop petite, qui se situait à « Piazza Save ». Annexe de la cathédrale d’Aléria, elle a été élevée au rang de Collégiale par le Pape Benoît XIV."
179,Couvent Saint Dominique,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ReligiousSite|https://www.datatourisme.fr/ontology/core#Convent,42.603079,8.91216,,20220,,,,Corbara,"Le couvent de Saint-Dominique fondé en 1456 par deux religieux Franciscains de l’Ordre des Observantins. Après avoir été détruit lors de la Révolution, les Dominicains le reconstruisent en lieu d’étude. Il est occupé par la communauté de Saint-Jean."
180,Plage de Ghjunchitu et Bodri,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Beach|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,42.627,8.9058,,20220,,,,Corbara,"Venez profiter des plages de Bodri et de Ghjunchitu. Vous les trouverez en contrebas de la route qui vous mène de L’Ile-Rousse à Calvi. Et si vous préférez oublier la voiture,  prenez le tramway des plages qui vous déposera sur le sentier qui y emmène."
199,Plage de L'Ile-Rousse,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Beach|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,42.634,8.9418,,20220,,,,L'Île-Rousse,Vous venez d’arriver à L’Ile-Rousse en Balagne ? La mer borde notre belle cité paoline depuis les îles de la Pietra jusqu’à la plage de Caruchettu. Ce n’est pas une plage qui vous attend à L’Ile-Rousse mais bien trois plages.
200,Serra di Scopamena : découvrez l'histoire pastorale corse sur ce sentier du patrimoine,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|https://www.datatourisme.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,41.753497,9.097305,,20127,,,,Serra-di-Scopamène,"Au coeur du village de Serra di Scopamena, empruntez un magnifique chemin qui serpente entre des murs en pierre sèche bordant d’anciens jardins potagers à la découverte d’un bâti traditionnel emblématique de la culture montagnarde du sud de la Corse."
204,Corsica Sud Croisières,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.591196,9.283819,Port de Plaisance Quai Pascal Paoli,20137,+33 6 18 90 79 23,resa@corsicasudcroisieres.com,http://corsicasudcroisieres.com/,Porto-Vecchio,Excursions en mer depuis Porto-Vecchio à la découverte des joyaux de l'Extrême-Sud de la Corse (Lavezzi - Bonifacio) et de la Sardaigne en petit comité 12 personnes maximum . Nous sensibilisons nos passagers sur la protection de l'environnement.
206,Casa di Luna,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.412766,8.691103,Domaine de Vaitella,20245,+33 6 77 72 84 19,casadiluna@live.fr,https://casadiluna.net/,Galéria,"Camping idéalement situé près de Calvi en Balagne, entre mer et montagne, à cheval sur deux torrents dans la vallée du Fango, à 5 km de la mer, 1 km de la rivière, aux portes de Scandola, au pied de plus belles montagnes de Corse."
209,San Giovanni,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,41.579909,9.254862,Route d'Arca,20137,+33 4 95 70 22 25,info@hotel-san-giovanni.com,http://www.hotel-san-giovanni.com/,Porto-Vecchio,"Niché dans un domaine floral, le San Giovanni est un lieu de détente absolue alliant charme & sérénité.
Proche du centre et des plages pour une escapade romantique ou en famille, profitez de la piscine, du jacuzzi, restaurez-vous avec nos menus gourmands."
210,Le Panoramic,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.588916,8.847114,Route de Lavatoggio,20260,+33 5 61 69 05 07,panoramic@vacances-andretrigano.com,https://vacances-andretrigano.com/camping/haute-corse/le-panoramic-lavatoggio,Lumio,"A 10 mn en voiture de plusieurs belles plages de sable fin de la Balagne, le Camping Panoramic occupe un site privilégié entre L'Ile-Rousse et Calvi, dans un cadre exceptionnel entre Mer et Montagne. Vue imprenable sur la Marine de Sant'Ambroggio."
211,Casa Orfea,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.608,8.8637,1 Rue A Marina,20220,+33 4 95 57 90 08,casa.orfea.algajola@gmail.com,https://www.hotel-algajola-corsica.com/,Algajola,"Casa Orfea est un établissement familial situé à Algajola, village de pêcheurs près de Calvi. L’hôtel, au style vintage, offre une atmosphère chaleureuse, entre charme désuet et authenticité. Les mots d’ordre sont simplicité, hospitalité et convivialité."
216,Sole di Dume,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,41.523839,9.219267,Pasteloso,20146,+33 6 25 95 55 81,cecile.vacca@orange.fr,http://www.stelladidiana.com/,Sotta,"Au calme dans la campagne corse, Sole di Dumè vous propose 10 mini villas tout confort en formule locative ou hôtelière pour 2 à 5 pers, grande piscine commune, 6 km de Santa Giulia, 10 km de Porto Vecchio, 5 km du village de Sotta (premiers commerces)."
219,Arinella,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.576678,8.808554,Route de la Mer,20260,+33 4 95 60 60 60,infos@arinella.com,https://www.arinella.fr/,Lumio,"Vous apprécierez la situation de cette résidence, située au calme, près de la mer et de la plage de Lumio que vous pouvez rejoindre à pied. Vous vous laisserez également séduire par la vue sur la baie et la citadelle de Calvi."
220,La Villa Calvi,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.555582,8.745255,Chemin Notre Dame de la Serra,20260,+33 4 95 65 10 10,reservation@lavilla.fr,https://www.lavilla.fr/,Calvi,Hôtel d'exception dominant la baie et la citadelle de Calvi en Corse. Votre séjour en Balagne dans un établissement alliant caractère et modernité.
221,Hôtel Davia,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.626831,8.921511,5 Col Fogata,20220,+33 4 95 60 87 09,daviahotel@gmail.com,,L'Île-Rousse,"Calme et raffiné, l'Hôtel Davia est un établissement convivial et contemporain, idéalement situé pour profiter en couple et en famille, d'une vue panoramique sur la mer mais aussi, pour partir à la découverte des trésors de  Balagne."
222,A Piattatella,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.612201,8.958262,Chemin Saint François,20220,+33 4 95 60 07 00,info@apiattatella.com,https://www.hotel-corse-apiattatella.com/,Monticello,"A Piattatella, littéralement une cachette en Corse vous accueille dans son univers luxe au naturel. Les 17 chambres de ce petit hôtel spa de charme partagent outre des équipements et services dignes d'un hôtel 5 étoiles, une vue sur la vallée du Reginu."
224,Perla Rossa,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.636093,8.938393,20220 30 rue Notre Dame,20220,+33 4 95 48 45 30,info@hotelperlarossa.com,http://www.hotelperlarossa.com/,L'Île-Rousse,"Cet ancien Palais du XVIIIe siècle avec ses neuf suites à la décoration minimaliste et épurée, se situe en bordure d'une magnifique plage de sable fin, l'hôtel Perla Rossa vous offre un service personnalisé et raffiné, pour un séjour inoubliable."
225,Villa Joséphine,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.627661,8.934496,Lieu-dit Miratu Polu Rue Bisgambiglia,20220,+33 4 95 58 95 80,contact@villajosephine.corsic,https://www.villajosephine.cors,L'Île-Rousse,"La Villa Joséphine se situe dans une végétation méditerranéenne apaisante. À proximité du centre ville et des plages, savourez l’intimité et  la tranquillité qu’il offre. Telle une maison de famille, l'hôtel décline le vocabulaire des bâtisses corses."
226,Les Terrasses d'Arsella,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.661749,9.322202,Route de Portovecchiaccio,20137,+33 4 95 71 25 36,contact@residencearsella.com,https://www.pierreetvacances.com/,Lecci,"RESIDENCE PREMIUM PIERRE & VACANCES. Nichée au cœur d'un environnement calme et préservé, la récente résidence premium Les Terrasses d'Arsella vous invite à vivre une expérience unique et relaxante en pleine nature."
228,L'Isula di i Sogni,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Farm|https://www.datatourisme.fr/ontology/core#TeachingFarm|https://www.datatourisme.fr/ontology/core#TechnicalHeritage,42.604791,8.873169,Ferme Pédagogique Plaine d'Aregno,20220,+33 6 33 29 93 58,,,Aregno,"La ferme pédagogique l’Isula di i Sogni sera heureuse de vous accueillir au sein de son parc de 3 hectares avec vue mer et coucher de soleil.
Un lieu idéal pour découvrir le monde animal pour les petits et les grands !"
230,L'Alba,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#BistroOrWineBar|http://schema.org/FoodEstablishment|http://schema.org/Winery,41.59027,9.279853,43 rue Borgo Porte Génoise,20137,+33 6 10 73 16 53,lataverneduroi@hotmail.com,,Porto-Vecchio,"Bar-cabaret où tout au long de la soirée, le répertoire évolue, des chants corses pour les amateurs d’authenticité, à la variété française et internationale, entraînant le spectateur au fil de la nuit dans un voyage tour à tour bucolique et endiablé."
232,Domaine A Marella,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.628792,8.942627,BP118 Funtana Marina,20220,+33 4 95 65 84 10,contact@amarella.corsic,https://www.amarella.cors,L'Île-Rousse,"Située dans un quartier résidentiel aux abords de L'Ile-Rousse, à moins de 15 minutes à pied de sa place, de son marché et de des plages, le Domaine A Marella vous accueille de mars à novembre."
240,L'évasion turquoise,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.637625,9.34782,Baie de Saint Cyprien,20137,+33 6 42 92 18 18,levasionturquoise@orange.fr,https://www.levasionturquoise.com/,Lecci,"Journée évasion nature en petit comité, jusqu'à 8 pers. Embarquez sur l'Isulella (petite île en Corse) avec votre skipper Olivier et partons à la découverte de baies préservées d'une exceptionnelle beauté, nichées sur le littoral sud-est de la Corse."
241,Rocabella,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.636689,8.936124,2 Rue Pontellole,20220,+33 4 95 47 12 20,contact@hotel-rocabella.com,http://www.hotel-rocabella.com/,L'Île-Rousse,"L'Hôtel spa Rocabella 4 étoiles est situé à Ile Rousse en Balagne, à 200 mètres de la grande plage de sable blanc, 600 mètres du port de plaisance et 900 m du phare de la Pietra. Il est équipé d'une grande terrasse et de chambres climatisées."
242,Résidence Capra Scorsa,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.635161,9.019568,Losari,20226,+33 4 95 36 13 87,corsalys.vacances@orange.fr,http://www.odalys-vacances.com/,Belgodère,"Situé à 500m de la magnifique plage de Losari, la résidence Capra Scorsa vous propose des appartements entièrement équipés et climatisés. Vous profiterez de la piscine pour vos moment de détente en famille."
243,Plage de Losari,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Beach|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,42.641,9.0139,Losari,20226,,,,Belgodère,"Non loin de L’Ile-Rousse, sur la côte de Belgodère, la plage de Losari vous invite à venir savourer des moments délicieux dans un cadre enchanteur et préservé. Aujourd’hui, le Conservatoire du Littoral en a fait un havre de paix."
252,Exclusive Sailing,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.524123,9.272116,Baie de Santa Giulia Ponton de l'hôtel Moby Dick,20137,+33 6 25 81 20 84,exclusive.sailing.bw@gmail.com,http://www.croisiere-exclusive.fr/,Porto-Vecchio,"Cap au large à bord de notre Maxi-Catamaran CIAO pour une navigation dans la Réserve Naturelle des Bouches de Bonifacio. Arrêt de 2h30 pour déjeuner dans l’un de nos plus beaux spots : les Îles Lavezzi, Sperone... au gré du vent. Privatisation possible."
253,Les Voiles de Porto-Vecchio,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.589858,9.28319,Capitainerie du Port de Plaisance,20137,+33 6 31 07 61 16,info@voilesdeportovecchio.com,,Porto-Vecchio,"Croisière en catamaran à voile au départ du port de Porto-Vecchio. Découverte des plus beaux sites (Pinarello, Saint Cyprien, Îles Cerbicale, Porto Novo...). Possibilité de repas à bord - Escales Snorkeling, Paddle board - Privatisation sur demande."
255,Kasano,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.568126,8.757943,Avenue de l'Uruguay,20260,+33 6 82 15 47 66,info@hotelkasano.com,https://www.hotelkasano.com/fr,Calvi,"Kasano hôtel & spa, à la décoration vintage et l’esprit seventies, est posé au pied de la citadelle de Calvi. Vos hôtes, Léria et Lolla Ceccaldi, ont grandi dans l’hôtellerie et l’art du bien recevoir."
